graph,score,presence,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B3_spatial_feature,relevance,absent,macro_class,high_score_fraction,0.0002733987934602303,0.0002448260985698536,0.00030553712883420284,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,positive,micro,mean_score,0.3011376920978564,0.2919631752162475,0.31012609588785084,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,positive,micro,top10_mean_score,0.7110007231788558,0.6996225993824744,0.7223730056335296,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,positive,micro,max_score,0.95889060643323,0.9508549702103225,0.9665269133607347,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,positive,micro,spatial_entropy,0.8226730715062036,0.8131640698477608,0.8318140619074144,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,positive,micro,high_score_fraction,0.09741167148859985,0.09271829510102553,0.10206502291470107,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,positive,macro_class,mean_score,0.3081457078974638,0.3001478524425475,0.3161642930217623,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,positive,macro_class,top10_mean_score,0.7152739687715884,0.7042109433723119,0.7262640160150349,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,positive,macro_class,max_score,0.9595050170243871,0.9508492814393761,0.9676438831399511,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,positive,macro_class,spatial_entropy,0.8280677996876271,0.8184948020242274,0.8371728853723862,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,positive,macro_class,high_score_fraction,0.09761166868435651,0.09352807136380104,0.10167420082013819,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,absent,micro,mean_score,0.0005764891160139421,0.0005051462432948973,0.0006505230677147432,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,absent,micro,top10_mean_score,0.0036723843057162,0.003331672852863349,0.004023572377297649,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,absent,micro,max_score,0.01588235987253799,0.014827820168990747,0.01700006102699846,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,absent,micro,spatial_entropy,0.9559394517858422,0.9531012480545182,0.9586470971473129,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,absent,micro,high_score_fraction,7.656522103780482e-07,9.683997120910283e-08,1.6693283535570329e-06,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,absent,macro_class,mean_score,0.0005993995457920848,0.0005244692910677408,0.000676995753995117,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,absent,macro_class,top10_mean_score,0.003802180233970865,0.0034489068265345225,0.004175853179642545,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,absent,macro_class,max_score,0.01647000703832215,0.015370464285796557,0.017633028772362447,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,absent,macro_class,spatial_entropy,0.9543599591602172,0.9514308054653621,0.9572088893930567,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,absent,macro_class,high_score_fraction,8.201783569550684e-07,9.734235762867443e-08,1.7697370468245386e-06,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,positive,micro,mean_score,0.15522048389892149,0.15013381152673677,0.16018831763163066,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,positive,micro,top10_mean_score,0.4253769105351481,0.4159123938452039,0.4351175048202575,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,positive,micro,max_score,0.6849402776704965,0.6746896176723503,0.6950736908449938,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,positive,micro,spatial_entropy,0.7504268433965346,0.7399383191236611,0.7605810728972285,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance_x_stability,positive,micro,high_score_fraction,0.003882607633448541,0.003547547609014765,0.004222918745026217,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
