comparison,graph,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
relevance_x_stability_minus_stability,B1_spatial,single_label,macro_class,target_tail_enrich_05,2.1612783234139896,1.972110943311342,2.3614302150162123,921,927,921,927,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,single_label,macro_class,target_tail_enrich_10,1.8115391454499759,1.6575787143327012,1.9697819944171242,921,927,921,927,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,single_label,macro_class,bg_tail_enrich_05,-0.7245028115283016,-0.7619645823829392,-0.6894507981945733,918,927,918,927,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,single_label,macro_class,auc_target_bg,0.3904259406971531,0.37215024307324,0.40790596783293337,912,927,912,927,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,single_label,macro_class,ap_target_bg,0.31077290498986837,0.2906893299722361,0.33074939631183614,912,927,912,927,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,micro,target_hit,0.496,0.45866666666666667,0.5333333333333333,375,375,750,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,micro,target_tail_enrich_05,4.011759654982507,3.72834102646408,4.289937876495095,373,375,695,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,micro,target_tail_enrich_10,3.138217496191861,2.9655581900368713,3.3059166975606864,373,375,695,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,micro,bg_tail_enrich_05,-0.4104916146204255,-0.47769803765942515,-0.33218335538046856,369,375,738,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,micro,auc_target_bg,0.49263675666024453,0.4770298450491563,0.5077691861610371,367,375,683,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,micro,auc_target_other,0.47446091671218343,0.4549443992777181,0.49339834185201215,322,375,644,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,micro,ap_target_bg,0.3583962963857129,0.3402594415717977,0.37592158853592567,367,375,683,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,micro,ap_target_other,0.33332501081398663,0.31315041383269326,0.3530376695912175,322,375,644,750,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,macro_class,target_hit,0.520604698441655,0.4691486095015204,0.5683328975436998,375,375,750,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,macro_class,target_tail_enrich_05,3.940522846676946,3.5023932463707514,4.466588330535833,373,375,695,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,macro_class,target_tail_enrich_10,3.0098108597149102,2.7454751249111293,3.3084735997336687,373,375,695,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,macro_class,bg_tail_enrich_05,-0.41344747853470676,-0.5203107427001221,-0.28582094901723437,369,375,738,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,macro_class,auc_target_bg,0.4574783362061413,0.4352736969013323,0.4823824634792633,367,375,683,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,macro_class,auc_target_other,0.42198525267788867,0.3916899173768519,0.4518851639780664,322,375,644,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,macro_class,ap_target_bg,0.3516994324288693,0.3281341144402332,0.3777476136667045,367,375,683,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,exactly_2_labels,macro_class,ap_target_other,0.3162449852835937,0.2815681308745119,0.35171712055695986,322,375,644,750,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,micro,target_hit,0.5,0.44989339019189767,0.5491452991452992,147,147,470,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,micro,target_tail_enrich_05,5.134837262566377,4.647221953057867,5.627916143464256,147,147,415,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,micro,target_tail_enrich_10,3.824491526599888,3.5238242673691724,4.1279215346331,147,147,415,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,micro,bg_tail_enrich_05,-0.272122008233439,-0.36397545011545307,-0.1749194470753936,145,147,464,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,micro,auc_target_bg,0.5249330403237396,0.49987079295376946,0.5488309469177304,145,147,409,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,micro,auc_target_other,0.519204274652191,0.4924879458260107,0.5448896087505546,140,147,408,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,micro,ap_target_bg,0.3793005397445726,0.3525116350400674,0.40647567221501874,145,147,409,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,micro,ap_target_other,0.4109371838900454,0.38018601182081124,0.4415163698411206,140,147,408,470,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,macro_class,target_hit,0.4712135209837416,0.3918123464441516,0.527297799759021,147,147,470,470,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,macro_class,target_tail_enrich_05,5.526375439728077,4.756983687722692,6.250613500009925,147,147,415,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,macro_class,target_tail_enrich_10,4.130651660462106,3.6482611939805465,4.625702435026534,147,147,415,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,macro_class,bg_tail_enrich_05,-0.17469794094500457,-0.38711515787180206,0.13148915810030629,145,147,464,470,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,macro_class,auc_target_bg,0.5245040759113573,0.48278572068942993,0.5611102397014185,145,147,409,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,macro_class,auc_target_other,0.4881534095560577,0.45356912656847903,0.5376639855104274,140,147,408,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,macro_class,ap_target_bg,0.38908660586655036,0.34078473293232764,0.4310867040112787,145,147,409,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,3plus_labels,macro_class,ap_target_other,0.39316638788244834,0.3510556102202075,0.4590745660544588,140,147,408,470,19,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,micro,target_hit,-0.08430367955286447,-0.10060026192692857,-0.06861836460028649,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,micro,target_tail_enrich_05,-2.142587014746737,-2.3351709464585015,-1.9656396095614,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
