graph,relevance_quintile,stability_quintile,region,metric,estimate,ci_low,ci_high,num_images,num_images_total,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_seed,bootstrap_unit
B3_spatial_feature,0,2,background,region_probability,0.7369659784443578,0.7179040430648315,0.7564395992400765,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,3,target,region_probability,0.041660367215978766,0.035819994045895656,0.047837131360753814,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,3,other_fg,region_probability,0.21972483999395254,0.2006086130241181,0.2378757828842309,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,3,background,region_probability,0.7383292176922173,0.718645802915226,0.7579847807049733,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,4,target,region_probability,0.04101555879461713,0.035093302721666095,0.047332688027273154,1448,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,4,other_fg,region_probability,0.2244330700654215,0.20477630405996666,0.2430409106515039,1448,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,4,background,region_probability,0.7342293481576896,0.7142018530814801,0.7542440227427434,1448,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,0,target,region_probability,0.15841922441774386,0.14554969526128148,0.17151994688074312,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,0,other_fg,region_probability,0.1768502173376611,0.16090927255048584,0.1925723726745721,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,0,background,region_probability,0.664293984776873,0.6460742954860031,0.6828951354413183,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,1,target,region_probability,0.10727578729326472,0.09736038760434657,0.11753715669483074,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,1,other_fg,region_probability,0.18004984302683108,0.16410937046587454,0.19556805203530014,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,1,background,region_probability,0.7123507136615206,0.6948237845861956,0.7299693078571019,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,2,target,region_probability,0.08526207544076662,0.07710351027056042,0.0937814359607477,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,2,other_fg,region_probability,0.18593421660531453,0.16982352975385243,0.2018599299278767,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,2,background,region_probability,0.7283864141045321,0.710206104823345,0.7461056889817738,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,3,target,region_probability,0.07339943342776203,0.06588286728894265,0.0813540962750206,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,3,other_fg,region_probability,0.19118980169971672,0.17438251708969685,0.20789045840472878,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,3,background,region_probability,0.735070821529745,0.7171200175272192,0.753148472746726,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,4,target,region_probability,0.06945272528112478,0.06208682890095022,0.07729560480626568,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,4,other_fg,region_probability,0.1910261920938423,0.17435105970868148,0.20770015252015903,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,1,4,background,region_probability,0.7391328461890434,0.7206083047445757,0.7569769971754675,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,0,target,region_probability,0.2352386934673367,0.22004550943217235,0.2503588413381301,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,0,other_fg,region_probability,0.14229480737018427,0.12962860468350898,0.15482841458078866,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,0,background,region_probability,0.6220058626465662,0.603208620717237,0.6403088454776482,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,1,target,region_probability,0.19496040316774657,0.18135156841865652,0.20853105103967462,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,1,other_fg,region_probability,0.13928485721142309,0.12699586965069315,0.15195072856295572,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,1,background,region_probability,0.6653867690584753,0.6472084080571632,0.683317422394265,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,2,target,region_probability,0.17320223241679572,0.16064558713340027,0.1858461040835122,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,2,other_fg,region_probability,0.13653098793209245,0.12434645849196745,0.1490588196439894,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,2,background,region_probability,0.6897554276363849,0.6719836819211122,0.7076083650365217,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,3,target,region_probability,0.15814841127223592,0.14573808071893757,0.1704544958917408,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,3,other_fg,region_probability,0.1390223856687144,0.12585274123161522,0.1526021309860185,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,3,background,region_probability,0.7022859292072381,0.6839219493576812,0.7204250984702966,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,4,target,region_probability,0.15588833175226996,0.14331000377230338,0.16843870708401137,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,4,other_fg,region_probability,0.1378100013551972,0.1248247925681139,0.1509549024642461,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,2,4,background,region_probability,0.7057595880200569,0.6877760731012447,0.724149585142671,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,3,0,target,region_probability,0.34332134771607403,0.3269642398238206,0.35958413199689543,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,3,0,other_fg,region_probability,0.10261971348667313,0.09267207926489321,0.11257542747719065,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,3,0,background,region_probability,0.5535452694861405,0.5348946372987923,0.5725834285739217,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,3,1,target,region_probability,0.3130240528796132,0.2975851592817888,0.32817167026631944,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,3,1,other_fg,region_probability,0.09566068914866271,0.08616808138044804,0.10525044192199341,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,3,1,background,region_probability,0.5906420221555787,0.5723918719004514,0.6093356161593328,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,3,2,target,region_probability,0.30763098454315957,0.2918162871626202,0.32334746808340614,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,3,2,other_fg,region_probability,0.09099901088031652,0.0815505200986642,0.10049466007560501,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,3,2,background,region_probability,0.6006466185393508,0.5817663981149066,0.6195104510672215,1449,1449,5000,5000,20260901,whole image
